date,tweets,user,clean_text1
2017-07-12,"<c3><9c>ltra -nasionalis kiri garis garis .

cc @bobbysusila16 @ongkeytherinz
@dwputera @Koter_RTM dll

#warungsubur #lau #tuak #balitolakreklamasi",JRX_SID,ltra nasionalis kiri garis garis
2017-07-04,"UBUD ! See ya July 9th !

#jrxsonyb #duocoustic #balitolakreklamasi .

Repost stt .satyabuana

Desa <e2><80><a6>",JRX_SID,ubud july 9th repost stt satyabuana desa
2017-05-19,"Rock n roll mayhem !

Video by @dwputera
#devildice #kingsoftheoutcast #balitolakreklamasi",JRX_SID,rock roll mayhem video
2017-06-22,"Good bye Jay Biafra . Semoga tenang bersama semesta . Perjuanganmu akan kami lanjutkan hingga Puputan

#balitolakreklamasi",JRX_SID,jay biafra semoga tenang semesta perjuanganmu lanjutkan puputan
2017-06-20,"Forever in love with mother earth . Forever BTR ! 

By @ucok_olok
#balitolakreklamasi #hipsterkiller",JRX_SID,forever love mother earth forever btr
2017-06-20,"FCK JRX , literally

Shot by @guswib
#sid #kutarockcity #punkrock #outsiders #ladyrose #premierdrums #rebels #balitolakreklamasi",JRX_SID,fck jrx literally shot
2017-06-03,"From the back to the front page . From the gutter to the stage ! 

#kendengberdendang #kendenglestari #balitolakreklamasi #love #resistance",JRX_SID,front page gutter stage
2017-05-19,"Semalam . Terkumpul total donasi Rp . 3 .282 .000 .

Salut pada @Koter_RTM dkk !

#balitolakreklamasi #mantapsoul
",JRX_SID,semalam terkumpul total donasi rp salut kawan kawan
2017-05-19,"Another perfect night at @SunnycafeC -- cheers for mother earth !

cc : @plagawine
#balitolakreklamasi #sunnycafe #canggu #supportlocal",JRX_SID,perfect night cheers mother earth
2017-05-17,"Lets live like outlaws ! See u tonight at Gimme Shelter Canggu , then May 20th in Jember !

#devildice #balitolakreklamasi #mantapsoul",JRX_SID,live outlaws tonight gimme shelter canggu jember
2017-05-16,"With one of the good guys of Bali

#balitolakreklamasi",JRX_SID,bali
